DataFrame has,Syntax,Description:
Reindexing / selection / label manipulation,DataFrame.head([n]),Return the first n rows.
Reindexing / selection / label manipulation,"DataFrame.idxmax([axis, skipna, numeric_only])",Return index of first occurrence of maximum over requested axis.
Reindexing / selection / label manipulation,"DataFrame.idxmin([axis, skipna, numeric_only])",Return index of first occurrence of minimum over requested axis.
Reindexing / selection / label manipulation,DataFrame.last(offset),Select final periods of time series data based on a date offset.
Reindexing / selection / label manipulation,"DataFrame.reindex([labels, index, columns, ...])",Conform Series/DataFrame to new index with optional filling logic.
Reindexing / selection / label manipulation,"DataFrame.reindex_like(other[, method, ...])",Return an object with matching indices as other object.
Reindexing / selection / label manipulation,"DataFrame.rename([mapper, index, columns, ...])",Alter axes labels.
Reindexing / selection / label manipulation,"DataFrame.rename_axis([mapper, index, ...])",Set the name of the axis for the index or columns.
Reindexing / selection / label manipulation,"DataFrame.reset_index([level, drop, ...])","Reset the index, or a level of it."
Reindexing / selection / label manipulation,"DataFrame.sample([n, frac, replace, ...])",Return a random sample of items from an axis of object.
Reindexing / selection / label manipulation,"DataFrame.set_axis(labels[, axis, inplace, copy])",Assign desired index to given axis.
Reindexing / selection / label manipulation,"DataFrame.set_index(keys[, drop, append, ...])",Set the DataFrame index using existing columns.
Reindexing / selection / label manipulation,DataFrame.tail([n]),Return the last n rows.
Reindexing / selection / label manipulation,"DataFrame.take(indices[, axis, is_copy])",Return the elements in the given positional indices along an axis.
Reindexing / selection / label manipulation,"DataFrame.truncate([before, after, axis, copy])",Truncate a Series or DataFrame before and after some index value.
Missing data handling,"DataFrame.backfill([axis, inplace, limit, ...])",Synonym for DataFrame.fillna() with method='bfill'.
Missing data handling,"DataFrame.bfill([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='bfill'.
Missing data handling,"DataFrame.dropna([axis, how, thresh, ...])",Remove missing values.
Missing data handling,"DataFrame.ffill([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='ffill'.
Missing data handling,"DataFrame.fillna([value, method, axis, ...])",Fill NA/NaN values using the specified method.
Missing data handling,"DataFrame.interpolate([method, axis, limit, ...])",Fill NaN values using an interpolation method.
Missing data handling,DataFrame.isna(),Detect missing values.
Missing data handling,DataFrame.isnull(),DataFrame.isnull is an alias for DataFrame.isna.
Missing data handling,DataFrame.notna(),Detect existing (non-missing) values.
Missing data handling,DataFrame.notnull(),DataFrame.notnull is an alias for DataFrame.notna.
Missing data handling,"DataFrame.pad([axis, inplace, limit, downcast])",Synonym for DataFrame.fillna() with method='ffill'.
Missing data handling,"DataFrame.replace([to_replace, value, ...])",Replace values given in to_replace with value.
"Reshaping, sorting, transposing","DataFrame.droplevel(level[, axis])",Return Series/DataFrame with requested index / column level(s) removed.
"Reshaping, sorting, transposing","DataFrame.pivot([index, columns, values])",Return reshaped DataFrame organized by given index / column values.
"Reshaping, sorting, transposing","DataFrame.pivot_table([values, index, ...])",Create a spreadsheet-style pivot table as a DataFrame.
"Reshaping, sorting, transposing","DataFrame.reorder_levels(order[, axis])",Rearrange index levels using input order.
"Reshaping, sorting, transposing","DataFrame.sort_values(by[, axis, ascending, ...])",Sort by the values along either axis.
"Reshaping, sorting, transposing","DataFrame.sort_index([axis, level, ...])",Sort object by labels (along an axis).
"Reshaping, sorting, transposing","DataFrame.nlargest(n, columns[, keep])",Return the first n rows ordered by columns in descending order.
"Reshaping, sorting, transposing","DataFrame.nsmallest(n, columns[, keep])",Return the first n rows ordered by columns in ascending order.
"Reshaping, sorting, transposing","DataFrame.swaplevel([i, j, axis])",Swap levels i and j in a MultiIndex.
"Reshaping, sorting, transposing","DataFrame.stack([level, dropna])",Stack the prescribed level(s) from columns to index.
"Reshaping, sorting, transposing","DataFrame.unstack([level, fill_value])",Pivot a level of the (necessarily hierarchical) index labels.
"Reshaping, sorting, transposing","DataFrame.swapaxes(axis1, axis2[, copy])",Interchange axes and swap values axes appropriately.
"Reshaping, sorting, transposing","DataFrame.melt([id_vars, value_vars, ...])","Unpivot a DataFrame from wide to long format, optionally leaving identifiers set."
"Reshaping, sorting, transposing","DataFrame.explode(column[, ignore_index])","Transform each element of a list-like to a row, replicating index values."
"Reshaping, sorting, transposing",DataFrame.squeeze([axis]),Squeeze 1 dimensional axis objects into scalars.
"Reshaping, sorting, transposing",DataFrame.to_xarray(),Return an xarray object from the pandas object.
"Reshaping, sorting, transposing",DataFrame.T,"DataFrame.transpose(*args[, copy])"
Combining / comparing / joining / merging,"DataFrame.append(other[, ignore_index, ...])","(DEPRECATED) Append rows of other to the end of caller, returning a new object."
Combining / comparing / joining / merging,DataFrame.assign(**kwargs),Assign new columns to a DataFrame.
Combining / comparing / joining / merging,"DataFrame.compare(other[, align_axis, ...])",Compare to another DataFrame and show the differences.
Combining / comparing / joining / merging,"DataFrame.join(other[, on, how, lsuffix, ...])",Join columns of another DataFrame.
Combining / comparing / joining / merging,"DataFrame.merge(right[, how, on, left_on, ...])",Merge DataFrame or named Series objects with a database-style join.
Combining / comparing / joining / merging,"DataFrame.update(other[, join, overwrite, ...])",Modify in place using non-NA values from another DataFrame.
Time Series-related,"DataFrame.asfreq(freq[, method, how, ...])",Convert time series to specified frequency.
Time Series-related,"DataFrame.asof(where[, subset])",Return the last row(s) without any NaNs before where.
Time Series-related,"DataFrame.shift([periods, freq, axis, ...])",Shift index by desired number of periods with an optional time freq.
Time Series-related,"DataFrame.slice_shift([periods, axis])",(DEPRECATED) Equivalent to shift without copying data.
Time Series-related,"DataFrame.tshift([periods, freq, axis])","(DEPRECATED) Shift the time index, using the index's frequency if available."
Time Series-related,DataFrame.first_valid_index(),"Return index for first non-NA value or None, if no non-NA value is found."
Time Series-related,DataFrame.last_valid_index(),"Return index for last non-NA value or None, if no non-NA value is found."
Time Series-related,"DataFrame.resample(rule[, axis, closed, ...])",Resample time-series data.
Time Series-related,"DataFrame.to_period([freq, axis, copy])",Convert DataFrame from DatetimeIndex to PeriodIndex.
Time Series-related,"DataFrame.to_timestamp([freq, how, axis, copy])","Cast to DatetimeIndex of timestamps, at beginning of period."
Time Series-related,"DataFrame.tz_convert(tz[, axis, level, copy])",Convert tz-aware axis to target time zone.
Time Series-related,"DataFrame.tz_localize(tz[, axis, level, ...])",Localize tz-naive index of a Series or DataFrame to target time zone.
Flags,"Flags refer to attributes of the pandas object. Properties of the dataset (like the date is was recorded, the URL it was accessed from, etc.) should be stored in DataFrame.attrs.","Flags(obj, *, allows_duplicate_labels)"
Metadata,DataFrame.attrs is a dictionary for storing global metadata for this DataFrame.,Warning
Metadata,DataFrame.attrs is considered experimental and may change without warning.,DataFrame.attrs
Plotting,DataFrame.plot is both a callable method and a namespace attribute for specific plotting methods of the form DataFrame.plot.<kind>.,"DataFrame.plot([x, y, kind, ax, ....])"
Plotting,DataFrame plotting accessor and method,"DataFrame.plot.area([x, y])"
Plotting,Draw a stacked area plot.,"DataFrame.plot.bar([x, y])"
Plotting,Vertical bar plot.,"DataFrame.plot.barh([x, y])"
Plotting,Make a horizontal bar plot.,DataFrame.plot.box([by])
Plotting,Make a box plot of the DataFrame columns.,"DataFrame.plot.density([bw_method, ind])"
Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.,"DataFrame.plot.hexbin(x, y[, C, ...])"
Plotting,Generate a hexagonal binning plot.,"DataFrame.plot.hist([by, bins])"
Plotting,Draw one histogram of the DataFrame's columns.,"DataFrame.plot.kde([bw_method, ind])"
Plotting,Generate Kernel Density Estimate plot using Gaussian kernels.,"DataFrame.plot.line([x, y])"
Plotting,Plot Series or DataFrame as lines.,DataFrame.plot.pie(**kwargs)
Plotting,Generate a pie plot.,"DataFrame.plot.scatter(x, y[, s, c])"
Plotting,Create a scatter plot with varying marker point size and color.,"DataFrame.boxplot([column, by, ax, ...])"
Plotting,Make a box plot from DataFrame columns.,"DataFrame.hist([column, by, grid, ...])"
Sparse accessor,Sparse-dtype specific methods and attributes are provided under the DataFrame.sparse accessor.,DataFrame.sparse.density
Sparse accessor,Ratio of non-sparse points to total (dense) data points.,"DataFrame.sparse.from_spmatrix(data[, ...])"
Sparse accessor,Create a new DataFrame from a scipy sparse matrix.,DataFrame.sparse.to_coo()
Sparse accessor,Return the contents of the frame as a sparse SciPy COO matrix.,DataFrame.sparse.to_dense()
Serialization / IO / conversion,"DataFrame.from_dict(data[, orient, dtype, ...])",Construct DataFrame from dict of array-like or dicts.
Serialization / IO / conversion,"DataFrame.from_records(data[, index, ...])",Convert structured or record ndarray to DataFrame.
Serialization / IO / conversion,"DataFrame.to_orc([path, engine, index, ...])",Write a DataFrame to the ORC format.
Serialization / IO / conversion,"DataFrame.to_parquet([path, engine, ...])",Write a DataFrame to the binary parquet format.
Serialization / IO / conversion,"DataFrame.to_pickle(path[, compression, ...])",Pickle (serialize) object to file.
Serialization / IO / conversion,"DataFrame.to_csv([path_or_buf, sep, na_rep, ...])",Write object to a comma-separated values (csv) file.
Serialization / IO / conversion,"DataFrame.to_hdf(path_or_buf, key[, mode, ...])",Write the contained data to an HDF5 file using HDFStore.
Serialization / IO / conversion,"DataFrame.to_sql(name, con[, schema, ...])",Write records stored in a DataFrame to a SQL database.
Serialization / IO / conversion,"DataFrame.to_dict([orient, into])",Convert the DataFrame to a dictionary.
Serialization / IO / conversion,"DataFrame.to_excel(excel_writer[, ...])",Write object to an Excel sheet.
Serialization / IO / conversion,"DataFrame.to_json([path_or_buf, orient, ...])",Convert the object to a JSON string.
Serialization / IO / conversion,"DataFrame.to_html([buf, columns, col_space, ...])",Render a DataFrame as an HTML table.
Serialization / IO / conversion,"DataFrame.to_feather(path, **kwargs)",Write a DataFrame to the binary Feather format.
Serialization / IO / conversion,"DataFrame.to_latex([buf, columns, ...])","Render object to a LaTeX tabular, longtable, or nested table."
Serialization / IO / conversion,"DataFrame.to_stata(path[, convert_dates, ...])",Export DataFrame object to Stata dta format.
Serialization / IO / conversion,"DataFrame.to_gbq(destination_table[, ...])",Write a DataFrame to a Google BigQuery table.
Serialization / IO / conversion,"DataFrame.to_records([index, column_dtypes, ...])",Convert DataFrame to a NumPy record array.
Serialization / IO / conversion,"DataFrame.to_string([buf, columns, ...])",Render a DataFrame to a console-friendly tabular output.
Serialization / IO / conversion,"DataFrame.to_clipboard([excel, sep])",Copy object to the system clipboard.
Serialization / IO / conversion,"DataFrame.to_markdown([buf, mode, index, ...])",Print DataFrame in Markdown-friendly format.
Serialization / IO / conversion,DataFrame.style,Returns a Styler object.
Serialization / IO / conversion,"DataFrame.__dataframe__([nan_as_null, ...])",Return the dataframe interchange object implementing the interchange protocol.
